,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,,Misc,,Approx Val,,Passing,Rushing,Receiving,,,,,,,,,,,,,,,,,,,,,
1,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
2,1,1,CIN,Carson Palmer,QB,23,2017,0,3,12,108,61,182,3941,6307,46247,294,187,301,474,8,0,0,0,1,,,USC,College Stats
3,1,2,DET,Charles Rogers ,WR,22,2005,0,0,0,4,4,15,0,0,0,0,0,2,17,0,36,440,4,,,,Michigan St.,College Stats
4,1,3,HOU,Andre Johnson ,WR,22,2016,2,7,12,95,93,193,0,0,0,0,0,23,54,0,1062,14185,70,1,,,Miami (FL),College Stats
5,1,4,NYJ,Dewayne Robertson,DT,21,2008,0,0,6,34,31,92,0,0,0,0,0,0,0,0,0,0,0,195,,16.0,Kentucky,
6,1,5,DAL,Terence Newman,DB,25,2017,0,2,15,71,50,221,0,0,0,0,0,1,4,0,0,0,0,749,42,2.0,Kansas St.,College Stats
7,1,6,NOR,Johnathan Sullivan,DT,22,2005,0,0,1,10,10,36,0,0,0,0,0,0,0,0,0,0,0,57,,1.5,Georgia,
8,1,7,JAX,Byron Leftwich,QB,23,2012,0,0,3,33,30,60,930,1605,10532,58,42,137,415,10,1,-7,0,,,,Marshall,College Stats
9,1,8,CAR,Jordan Gross,T,23,2013,1,3,11,79,79,167,0,0,0,0,0,0,0,0,0,1,0,,,,Utah,College Stats
10,1,9,MIN,Kevin Williams,DT,23,2015,5,6,12,99,94,203,0,0,0,0,0,0,0,0,0,0,0,370,5,63.0,Oklahoma St.,
11,1,10,BAL,Terrell Suggs,LB,20,2019,1,7,15,110,107,244,0,0,0,0,0,0,0,0,0,0,0,630,7,139.0,Arizona St.,College Stats
12,1,11,SEA,Marcus Trufant,DB,22,2012,0,1,8,50,50,136,0,0,0,0,0,0,0,0,0,0,0,565,21,2.0,Washington St.,College Stats
13,1,12,STL,Jimmy Kennedy ,DT,23,2011,0,0,2,15,12,92,0,0,0,0,0,0,0,0,0,0,0,107,,8.5,Penn St.,College Stats
14,1,13,NWE,Ty Warren,DE,22,2012,0,0,6,44,44,107,0,0,0,0,0,0,0,0,0,0,0,254,,20.5,Texas A&M,
15,1,14,CHI,Michael Haynes,DE,22,2005,0,0,0,8,8,43,0,0,0,0,0,0,0,0,0,0,0,62,1,5.5,Penn St.,College Stats
16,1,15,PHI,Jerome McDougle,DE,24,2008,0,0,0,3,3,37,0,0,0,0,0,0,0,0,0,0,0,31,,3.0,Miami (FL),College Stats
17,1,16,PIT,Troy Polamalu HOF,DB,22,2014,4,8,10,94,94,158,0,0,0,0,0,0,0,0,0,0,0,583,32,12.0,USC,College Stats
18,1,17,ARI,Bryant Johnson ,WR,22,2011,0,0,4,25,18,139,0,0,0,0,0,5,-8,0,314,3938,16,6,,,Penn St.,College Stats
19,1,18,ARI,Calvin Pace,DE,22,2015,0,0,10,71,19,187,0,0,0,0,0,0,0,0,0,0,0,470,3,60.0,Wake Forest,
20,1,19,BAL,Kyle Boller,QB,22,2011,0,0,4,17,18,67,861,1519,8931,48,54,176,572,2,0,0,0,,,,California,College Stats
21,1,20,DEN,George Foster ,T,23,2008,0,0,4,33,27,68,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,
22,1,21,CLE,Jeff Faine,C,22,2012,0,0,8,44,10,125,0,0,0,0,0,1,0,0,1,-1,0,,,,Notre Dame,
23,1,22,CHI,Rex Grossman,QB,23,2012,0,0,3,23,16,54,863,1562,10232,56,60,81,106,4,1,-4,0,,,,Florida,College Stats
24,1,23,BUF,Willis McGahee,RB,21,2013,0,2,7,55,26,142,0,0,0,0,0,2095,8474,65,210,1339,5,,,,Miami (FL),College Stats
25,1,24,IND,Dallas Clark,TE,24,2013,1,1,9,51,47,143,0,0,0,0,0,4,40,0,505,5665,53,1,,,Iowa,College Stats
26,1,25,NYG,William Joseph,DT,24,2009,0,0,1,11,10,69,0,0,0,0,0,0,0,0,0,0,0,73,,7.0,Miami (FL),College Stats
27,1,26,SFO,Kwame Harris,T,21,2008,0,0,3,24,19,86,0,0,0,0,0,0,0,0,0,0,0,,,,Stanford,
28,1,27,KAN,Larry Johnson,RB,23,2011,1,2,4,51,50,85,1,3,4,1,0,1427,6223,55,154,1373,6,1,,,Penn St.,College Stats
29,1,28,TEN,Andre Woolfolk,DB,23,2006,0,0,0,6,6,39,0,0,0,0,0,0,0,0,0,0,0,108,3,,Oklahoma,College Stats
30,1,29,GNB,Nick Barnett,LB,22,2013,0,0,9,62,51,153,0,0,0,0,0,0,0,0,0,0,0,732,12,20.5,Oregon St.,College Stats
31,1,30,SDG,Sammy Davis ,DB,23,2007,0,0,2,12,11,71,0,0,0,0,0,0,0,0,0,0,0,147,3,1.0,Texas A&M,College Stats
32,1,31,OAK,Nnamdi Asomugha,DB,22,2013,2,3,8,62,53,157,0,0,0,0,0,0,0,0,0,0,0,356,15,2.0,California,College Stats
33,1,32,OAK,Tyler Brayton,DE,23,2011,0,0,6,40,18,141,0,0,0,0,0,0,0,0,0,0,0,252,1,17.5,Colorado,College Stats
34,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
35,2,33,CIN,Eric Steinbach,G,23,2010,0,0,8,44,26,125,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,College Stats
36,2,34,DET,Boss Bailey,LB,23,2008,0,0,4,22,21,64,0,0,0,0,0,0,0,0,0,0,0,226,2,7.0,Georgia,College Stats
37,2,35,CHI,Charles Tillman ,DB,22,2015,1,2,11,68,65,168,0,0,0,0,0,0,0,0,0,0,0,790,38,3.0,Louisiana,College Stats
38,2,36,NWE,Eugene Wilson,DB,23,2010,0,0,6,30,22,96,0,0,0,0,0,0,0,0,0,0,0,313,14,,Illinois,College Stats
39,2,37,NOR,Jon Stinchcomb,T,24,2010,0,1,5,51,51,90,0,0,0,0,0,0,0,0,0,0,0,,,,Georgia,College Stats
40,2,38,DAL,Al Johnson ,C,24,2008,0,0,3,21,14,66,0,0,0,0,0,0,0,0,0,0,0,,,,Wisconsin,
41,2,39,JAX,Rashean Mathis,DB,23,2015,1,1,11,66,58,175,0,0,0,0,0,0,0,0,0,0,0,575,32,1.0,Bethune-Cookman,
42,2,40,MIN,E.J. Henderson,LB,23,2011,0,1,7,47,47,125,0,0,0,0,0,0,0,0,0,0,0,559,5,15.5,Maryland,College Stats
43,2,41,HOU,Bennie Joppru,TE,23,2007,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,5,,,Michigan,College Stats
44,2,42,SEA,Ken Hamlin,DB,22,2010,0,1,6,39,19,107,0,0,0,0,0,0,0,0,0,0,0,378,15,5.0,Arkansas,College Stats
45,2,43,STL,Pisa Tinoisamoa,LB,22,2010,0,0,7,35,30,98,0,0,0,0,0,0,0,0,0,0,0,400,7,11.0,Hawaii,College Stats
46,2,44,WAS,Taylor Jacobs,WR,22,2007,0,0,0,2,2,56,0,0,0,0,0,2,-14,0,37,384,2,9,,,Florida,College Stats
47,2,45,NWE,Bethel Johnson ,WR,24,2006,0,0,0,8,7,50,0,0,0,0,0,7,4,0,39,606,4,7,,,Texas A&M,College Stats
48,2,46,SDG,Drayton Florence,DB,22,2013,0,0,6,38,17,157,0,0,0,0,0,0,0,0,0,0,0,416,20,,Tuskegee,
49,2,47,KAN,Kawika Mitchell ,LB,23,2010,0,0,6,37,22,97,0,0,0,0,0,0,0,0,0,0,0,373,6,13.0,South Florida,College Stats
50,2,48,BUF,Chris Kelsay,DE,23,2012,0,0,8,47,47,147,0,0,0,0,0,0,0,0,0,0,0,293,3,32.5,Nebraska,
51,2,49,MIA,Eddie Moore,LB,23,2005,0,0,0,3,3,18,0,0,0,0,0,0,0,0,0,0,0,27,,,Tennessee,College Stats
52,2,50,CAR,Bruce Nelson,G,24,2003,0,0,0,1,1,15,0,0,0,0,0,0,0,0,0,0,0,,,,Iowa,
53,2,51,DEN,Terry Pierce,LB,22,2004,0,0,0,1,1,18,0,0,0,0,0,0,0,0,0,0,0,7,,,Kansas St.,College Stats
54,2,52,CLE,Chaun Thompson,LB,23,2009,0,0,2,17,16,98,0,0,0,0,0,0,0,0,0,0,0,166,,11.5,West Texas A&M,
55,2,53,NYJ,Victor Hobson,LB,23,2008,0,0,4,26,26,79,0,0,0,0,0,0,0,0,0,0,0,245,3,11.0,Michigan,College Stats
56,2,54,ARI,Anquan Boldin,WR,22,2016,0,3,14,86,49,202,1,4,-6,0,1,42,229,1,1076,13779,82,,,,Florida St.,College Stats
57,2,55,ATL,Bryan Scott,DB,22,2012,0,0,3,30,12,143,0,0,0,0,0,0,0,0,0,0,0,477,11,10.5,Penn St.,College Stats
58,2,56,NYG,Osi Umenyiora,DE,21,2014,1,2,6,63,57,161,0,0,0,0,0,0,0,0,0,0,0,316,1,85.0,Troy,
59,2,57,SFO,Anthony Adams ,DT,23,2011,0,0,4,32,13,121,0,0,0,0,0,0,0,0,0,0,0,214,,10.5,Penn St.,
60,2,58,IND,Mike Doss,DB,22,2008,0,0,3,17,16,57,0,0,0,0,0,0,0,0,0,0,0,211,7,1.0,Ohio St.,College Stats
61,2,59,PIT,Alonzo Jackson,LB,22,2005,0,0,0,2,1,18,0,0,0,0,0,0,0,0,0,0,0,15,,,Florida St.,College Stats
62,2,60,TEN,Tyrone Calico,WR,22,2005,0,0,0,5,5,27,0,0,0,0,0,1,5,0,42,501,4,,,,Middle Tenn. St.,College Stats
63,2,61,PHI,L.J. Smith,TE,23,2009,0,0,4,21,21,98,0,0,0,0,0,0,0,0,233,2556,18,9,,,Rutgers,College Stats
64,2,62,SDG,Terrence Kiel,DB,22,2006,0,0,3,20,20,59,0,0,0,0,0,0,0,0,0,0,0,218,4,2.0,Texas A&M,College Stats
65,2,63,OAK,Teyo Johnson,TE,21,2005,0,0,0,2,2,30,0,0,0,0,0,0,0,0,26,288,3,6,,,Stanford,College Stats
66,2,64,TAM,Dewayne White,DE,23,2009,0,0,2,23,12,96,0,0,0,0,0,0,0,0,0,0,0,168,3,27.0,Louisville,College Stats
67,Rnd,Pick,Tm,Player,Pos,Age,To,AP1,PB,St,CarAV,DrAV,G,Cmp,Att,Yds,TD,Int,Att,Yds,TD,Rec,Yds,TD,Solo,Int,Sk,College/Univ,
68,3,65,CIN,Kelley Washington,WR,24,2010,0,0,0,13,7,91,0,0,0,0,0,3,5,0,120,1500,12,22,,,Tennessee,College Stats
69,3,66,DET,Cory Redding,DE,22,2015,0,0,10,53,24,188,0,0,0,0,0,0,0,0,0,0,0,309,2,35.5,Texas,College Stats
70,3,67,HOU,Antwan Peek,LB,23,2007,0,0,1,13,10,65,0,0,0,0,0,0,0,0,0,0,0,91,1,14.0,Cincinnati,College Stats
71,3,68,CHI,Lance Briggs,LB,22,2014,1,7,12,98,98,173,0,0,0,0,0,0,0,0,0,0,0,944,16,15.0,Arizona,College Stats
72,3,69,DAL,Jason Witten,TE,21,2020,2,11,15,81,81,266,1,1,42,0,0,0,0,0,1226,13034,74,4,,,Tennessee,College Stats
73,3,70,ARI,Gerald Hayes,LB,22,2010,0,0,4,29,29,94,0,0,0,0,0,0,0,0,0,0,0,349,4,5.5,Pittsburgh,College Stats
74,3,71,MIN,Nate Burleson,WR,22,2013,0,0,9,46,17,135,0,0,0,0,0,40,257,0,457,5630,39,4,,,Nevada,College Stats
75,3,72,JAX,Vince Manuwai,G,23,2010,0,0,7,46,46,111,0,0,0,0,0,0,0,0,1,-1,0,,,,Hawaii,
76,3,73,SEA,Wayne Hunter,T,22,2012,0,0,1,12,0,77,0,0,0,0,0,0,0,0,0,0,0,,,,Hawaii,
77,3,74,STL,Kevin Curtis,WR,25,2010,0,0,3,26,14,81,0,0,0,0,0,9,39,1,253,3297,20,,,,Utah St.,College Stats
78,3,75,HOU,Seth Wand,T,24,2008,0,0,1,12,12,53,0,0,0,0,0,0,0,0,0,0,0,,,,NW Missouri St.,
