,Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
0,1,Larry Fitzgerald*,ARI,22,WR,16,16,165,103,62.4%,1409,13.7,10,68,47,8.5,6.4,88.1,0
1,2,Steve Smith*+,CAR,26,WR,16,16,150,103,68.7%,1563,15.2,12,72,80,10.4,6.4,97.7,2
2,3,Anquan Boldin,ARI,25,WR,14,14,171,102,59.6%,1402,13.7,7,69,54,8.2,7.3,100.1,2
3,4,Torry Holt*,STL,29,WR,14,14,163,102,62.6%,1331,13.0,9,63,44,8.2,7.3,95.1,2
4,5,Chad Johnson *+,CIN,27,WR,16,16,155,97,62.6%,1432,14.8,9,74,70,9.2,6.1,89.5,1
5,6,Antonio Gates*+,SDG,25,TE,15,15,140,89,63.6%,1101,12.4,10,62,38,7.9,5.9,73.4,0
6,7,Donald Driver,GNB,30,WR,16,16,146,86,58.9%,1221,14.2,5,63,59,8.4,5.4,76.3,0
7,8,Derrick Mason,BAL,31,WR,16,16,137,86,62.8%,1073,12.5,3,53,39,7.8,5.4,67.1,1
8,9,Rod Smith*,DEN,35,WR,16,16,126,85,67.5%,1105,13.0,6,55,72,8.8,5.3,69.1,2
9,10,Santana Moss*,WAS,26,WR,16,16,134,84,62.7%,1483,17.7,9,61,78,11.1,5.3,92.7,3
10,11,Joey Galloway,TAM,34,WR,16,16,152,83,54.6%,1287,15.5,10,56,80,8.5,5.2,80.4,0
11,12,Reggie Wayne,IND,27,WR,16,16,122,83,68.0%,1055,12.7,5,55,66,8.6,5.2,65.9,1
12,13,Chris Chambers*,MIA,27,WR,16,16,166,82,49.4%,1118,13.6,11,59,77,6.7,5.1,69.9,5
13,14,Marvin Harrison*,IND,33,WR,15,15,134,82,61.2%,1146,14.0,12,58,80,8.6,5.5,76.4,0
14,15,Eric Moulds,BUF,32,WR,15,15,129,81,62.8%,816,10.1,4,39,55,6.3,5.4,54.4,0
15,16,Deion Branch,NWE,26,WR,16,15,125,78,62.4%,998,12.8,5,53,51,8.0,4.9,62.4,0
16,17,Tony Gonzalez*,KAN,29,TE,16,16,116,78,67.2%,905,11.6,2,45,39,7.8,4.9,56.6,0
17,18,T.J. Houshmandzadeh,CIN,28,WR,14,12,115,78,67.8%,956,12.3,7,52,43,8.3,5.6,68.3,1
18,19,Plaxico Burress,NYG,28,WR,16,15,166,76,45.8%,1214,16.0,7,48,78,7.3,4.8,75.9,1
19,20,Jerry Porter,OAK,27,WR,16,14,142,76,53.5%,942,12.4,5,44,49,6.6,4.8,58.9,1
20,21,Todd Heap,BAL,25,TE,16,16,114,75,65.8%,855,11.4,7,45,48,7.5,4.7,53.4,2
21,22,Laveranues Coles,NYJ,28,WR,16,16,132,73,55.3%,845,11.6,5,53,43,6.4,4.6,52.8,1
22,23,Chris Cooley,WAS,23,TE,16,16,103,71,68.9%,774,10.9,7,44,32,7.5,4.4,48.4,3
23,24,Keyshawn Johnson,DAL,33,WR,16,14,123,71,57.7%,839,11.8,6,47,34,6.8,4.4,52.4,3
24,25,LaMont Jordan,OAK,27,RB,14,14,103,70,68.0%,563,8.0,2,26,28,5.5,5.0,40.2,2
25,26,Keenan McCardell,SDG,35,WR,16,16,108,70,64.8%,917,13.1,9,50,54,8.5,4.4,57.3,0
26,27,Jimmy Smith,JAX,36,WR,16,16,128,70,54.7%,1023,14.6,6,55,45,8.0,4.4,63.9,0
27,28,Donte' Stallworth,NOR,25,WR,16,13,129,70,54.3%,945,13.5,7,51,43,7.3,4.4,59.1,1
28,29,Antonio Bryant,CLE,24,WR,16,15,123,69,56.1%,1009,14.6,4,44,54,8.2,4.3,63.1,1
29,30,Hines Ward ,PIT,29,WR,15,15,114,69,60.5%,975,14.1,11,52,85,8.6,4.6,65.0,1
30,31,Jermaine Wiggins,MIN,30,TE,16,8,92,69,75.0%,568,8.2,1,31,24,6.2,4.3,35.5,0
31,32,Eddie Kennison,KAN,32,WR,16,16,108,68,63.0%,1102,16.2,5,47,55,10.2,4.3,68.9,1
32,33,Bobby Engram,SEA,32,WR,13,13,97,67,69.1%,778,11.6,3,43,56,8.0,5.2,59.8,2
