,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
0,,Games,Punt Returns,Kick Returns,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
2,1,Chris Carr,OAK,23,,16,2,35,216,0,35,6.2,69,1762,0,50,25.5,2078
3,2,Eddie Drummond,DET,26,,14,0,28,296,0,40,10.6,62,1349,0,65,21.8,1659
4,3,Wes Welker,MIA,25,,16,2,41,378,0,47,9.2,48,1064,0,46,22.2,2129
5,4,Allen Rossum,ATL,31,rcb,16,6,37,288,0,41,7.8,46,1082,0,51,23.5,1370
6,5,Dante Hall ,KAN,28,,15,0,27,240,1,60,8.9,53,1207,0,60,22.8,1662
7,6,Terrence Wilkins ,IND,31,,15,0,21,193,1,82,9.2,52,1272,0,70,24.5,1465
8,7,Dexter Wynn,2TM,25,,15,0,25,270,0,58,10.8,48,1032,0,38,21.5,1302
9,8,J.J. Arrington,ARI,23,,16,0,,,,,,67,1520,1,99,22.7,1597
10,9,Josh Cribbs,CLE,23,,16,1,6,51,0,34,8.5,61,1494,1,92,24.5,1647
11,10,Devin Hester*+,CHI,24,,16,0,47,600,3,84,12.8,20,528,2,96,26.4,1128
12,11,Rock Cartwright,WAS,27,,16,0,,,,,,64,1541,1,100,24.1,1556
13,12,Nate Burleson,SEA,25,WR,16,7,34,322,1,90,9.5,26,643,0,50,24.7,1157
14,13,Chad Morton,NYG,29,,15,0,29,268,0,38,9.2,31,670,0,51,21.6,960
15,14,B.J. Sams,BAL,26,,12,0,29,307,0,65,10.6,30,772,0,72,25.7,1079
16,15,Maurice Hicks,SFO,28,,16,0,,,,,,57,1428,0,64,25.1,1647
17,16,Adam Jones,TEN,23,RCB,15,15,34,440,3,90,12.9,20,521,0,70,26.1,1131
18,17,Michael Lewis,NOR,35,,10,0,16,111,0,26,6.9,37,914,0,51,24.7,1025
19,18,Bobby Wade,TEN,25,,16,2,3,27,0,18,9.0,50,1194,0,48,23.9,1682
20,19,Terrence McGee,BUF,26,LCB,15,14,,,,,,52,1355,0,88,26.1,1423
21,20,Willie Ponder,2TM,26,,12,0,0,15,0,15,,51,1192,0,41,23.4,1207
22,21,Kevin Faulk,NWE,30,,15,1,31,330,0,43,10.6,17,364,0,31,21.4,1173
23,22,Reno Mahe,PHI,26,,12,1,18,169,0,23,9.4,30,667,0,64,22.2,877
24,23,Justin Miller*,NYJ,22,,16,4,,,,,,46,1304,2,103,28.3,1304
25,24,Bethel Johnson ,MIN,27,,11,2,,,,,,45,1054,0,65,23.4,1218
26,25,Santonio Holmes,PIT,22,,16,4,26,264,1,65,10.2,18,436,0,42,24.2,1537
27,26,Charles Woodson ,GNB,30,LCB,16,16,41,363,0,40,8.9,1,10,0,10,10.0,434
28,27,Eric Parker,SDG,27,WR,15,12,37,331,0,50,8.9,2,19,0,12,9.5,1028
29,28,Michael Pittman,TAM,31,,16,3,,,,,,39,867,0,37,22.2,1517
30,29,Antwaan Randle El ,WAS,27,WR,16,16,39,342,1,87,8.8,,,,,,811
31,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
32,30,Brandon Williams,SFO,22,,13,0,22,147,0,25,6.7,16,380,0,44,23.8,527
33,31,Mewelde Moore,MIN,24,,16,0,36,365,1,71,10.1,1,25,0,25,25.0,995
34,32,Chris Gamble,CAR,23,LCB,15,13,36,185,0,24,5.1,,,,,,216
35,33,Michael Turner,SDG,24,,13,0,,,,,,36,954,0,58,26.5,1503
36,34,Alvin Pearman,JAX,24,,13,0,32,283,0,29,8.8,3,56,0,22,18.7,440
37,35,Rashied Davis ,CHI,27,,16,2,,,,,,32,753,0,42,23.5,1056
38,36,Maurice Jones-Drew,JAX,21,rb,16,1,1,13,0,13,13.0,31,860,1,93,27.7,2250
39,37,Roscoe Parrish,BUF,24,,16,1,32,364,1,82,11.4,,,,,,702
40,38,DeAngelo Williams,CAR,23,,13,2,,,,,,32,623,0,39,19.5,1437
41,39,Vernand Morency,2TM,26,,14,2,,,,,,31,670,0,35,21.6,1222
42,40,Miles Austin,DAL,22,,9,0,,,,,,29,753,0,37,26.0,753
43,41,Reggie Bush,NOR,21,rb,16,8,28,216,1,65,7.7,,,,,,1523
44,42,Laurence Maroney,NWE,21,,14,0,,,,,,28,783,0,77,28.0,1722
45,43,Dennis Northcutt,CLE,29,wr,13,6,28,312,0,81,11.1,,,,,,572
46,44,Keiwan Ratliff,CIN,25,,16,0,27,176,0,38,6.5,,,,,,176
47,45,Darrent Williams,DEN,24,RCB,15,14,25,206,0,34,8.2,0,6,0,6,,261
48,46,Ike Hilliard,TAM,30,,16,0,24,163,0,16,6.8,,,,,,502
49,47,Troy Walters,ARI,30,,15,3,24,250,0,37,10.4,,,,,,459
50,48,Brian Clark,DEN,23,,6,0,,,,,,23,512,0,36,22.3,512
51,49,Shaun McDonald,STL,25,,16,0,23,172,0,33,7.5,,,,,,308
52,50,Derrick Ward,NYG,26,,8,0,,,,,,23,466,0,36,20.3,466
53,51,Cory Ross,BAL,24,,4,0,13,37,0,9,2.8,9,194,0,28,21.6,231
54,52,Najeh Davenport ,PIT,27,,13,0,,,,,,21,448,0,40,21.3,862
55,53,Mark Jones,TAM,26,,7,0,20,155,0,18,7.8,1,29,0,29,29.0,184
56,54,Chris Perry ,CIN,25,,6,1,,,,,,21,412,0,36,19.6,511
57,55,Tyson Thompson,DAL,25,,7,0,,,,,,21,546,0,41,26.0,576
58,56,Terence Newman,DAL,28,LCB,16,16,20,202,1,56,10.1,,,,,,214
59,57,Edell Shepherd,HOU,26,,7,0,3,24,0,14,8.0,17,395,0,42,23.2,446
60,58,Phillip Buchanon,2TM,26,,14,4,14,95,0,45,6.8,5,106,0,28,21.2,201
61,59,Leon Washington,NYJ,24,RB,16,8,13,97,0,38,7.5,6,79,0,23,13.2,1096
62,Rk,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
63,60,Torrie Cox,TAM,26,,16,3,0,9,0,9,,18,387,0,44,21.5,396
64,61,Glenn Holt,CIN,22,,11,0,,,,,,17,419,0,38,24.6,422
65,62,Quincy Morgan,DEN,29,,7,0,,,,,,17,423,0,64,24.9,423
66,63,J.R. Reed,STL,24,,6,0,,,,,,17,346,0,40,20.4,346
