,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,,Games,0-19,20-29,30-39,40-49,50+,Scoring,Kickoffs,Punting,,,,,,,,,,,,,,,,,,,,,,,,
1,Rk,Player,Tm,Age,Pos,G,GS,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,FGA,FGM,Lng,FG%,XPA,XPM,XP%,KO,KOYds,TB,TB%,KOAvg,Pnt,Yds,Lng,Blck,Y/P
2,1,Stephen Gostkowski*,NWE,29,,16,0,1,1,8,8,13,13,13,11,6,5,41,38,54,92.7%,44,44,100.0%,99,6315,65,65.7%,63.8,,,,,
3,2,Justin Tucker*+,BAL,24,,16,0,,,9,9,14,13,11,10,7,6,41,38,61,92.7%,26,26,100.0%,82,5114,42,51.2%,62.4,,,,,
4,3,Adam Vinatieri,IND,41,,15,0,,,6,6,11,10,17,15,6,4,40,35,52,87.5%,34,34,100.0%,,,,,,,,,,
5,4,Mason Crosby,GNB,29,,16,0,1,1,13,13,8,8,8,6,7,5,37,33,57,89.2%,42,42,100.0%,57,3480,13,22.8%,61.1,,,,,
6,5,Nick Novak,SDG,32,,16,0,1,1,9,9,16,13,9,9,2,2,37,34,50,91.9%,42,42,100.0%,92,6031,18,19.6%,65.6,,,,,
7,6,Dan Carpenter,BUF,28,,16,0,,,13,13,6,6,11,10,6,4,36,33,55,91.7%,32,32,100.0%,83,5286,34,41.0%,63.7,,,,,
8,7,Phil Dawson,SFO,38,,16,0,,,13,12,6,6,11,10,6,4,36,32,56,88.9%,44,44,100.0%,91,5896,38,41.8%,64.8,,,,,
9,8,Jay Feely,ARI,37,,16,0,,,11,9,8,7,12,11,5,3,36,30,52,83.3%,37,37,100.0%,86,5629,33,38.4%,65.5,,,,,
10,9,Nick Folk,NYJ,29,,16,0,,,8,8,11,10,14,12,3,3,36,33,54,91.7%,27,27,100.0%,73,4582,30,41.1%,62.8,,,,,
11,10,Randy Bullock,HOU,24,,16,0,1,1,7,7,5,5,17,12,5,1,35,26,51,74.3%,26,26,100.0%,67,4381,29,43.3%,65.4,,,,,
12,11,Stephen Hauschka,SEA,28,,16,0,,,11,10,9,9,12,11,3,3,35,33,53,94.3%,44,44,100.0%,94,6118,48,51.1%,65.1,,,,,
13,12,Caleb Sturgis,MIA,24,,16,0,1,1,4,4,12,10,10,8,7,3,34,26,54,76.5%,33,33,100.0%,74,4783,38,51.4%,64.6,,,,,
14,13,Shaun Suisham,PIT,32,,16,0,,,9,9,15,13,8,8,,,32,30,48,93.8%,39,39,100.0%,86,5123,24,27.9%,59.6,,,,,
15,14,Dan Bailey,DAL,25,,16,0,2,2,2,2,9,8,10,10,7,6,30,28,53,93.3%,47,47,100.0%,93,5815,52,55.9%,62.5,,,,,
16,15,Garrett Hartley ,NOR,27,,14,0,2,2,6,5,8,5,13,9,1,1,30,22,55,73.3%,41,41,100.0%,1,9,,,9.0,,,,,
17,16,Sebastian Janikowski,OAK,35,,16,0,,,6,6,6,4,11,8,7,3,30,21,53,70.0%,37,37,100.0%,74,4363,38,51.4%,59.0,,,,,
18,17,Blair Walsh,MIN,23,,16,0,,,7,7,12,12,6,5,5,2,30,26,54,86.7%,44,43,97.7%,84,5241,43,51.2%,62.4,,,,,
19,18,Rob Bironas,TEN,35,,16,0,,,10,10,9,8,7,5,3,2,29,25,55,86.2%,41,41,100.0%,80,4875,32,40.0%,60.9,,,,,
20,19,Robbie Gould,CHI,31,,16,0,,,11,11,7,6,7,6,4,3,29,26,58,89.7%,46,45,97.8%,89,5228,38,42.7%,58.7,,,,,
21,20,Rian Lindell,TAM,36,,16,0,,,3,3,14,12,6,4,6,4,29,23,54,79.3%,31,31,100.0%,,,,,,,,,,
22,21,Ryan Succop,KAN,27,,16,0,,,6,6,10,9,8,6,4,1,28,22,51,78.6%,52,52,100.0%,91,5860,47,51.6%,64.4,1,29,29,0,29.0
23,22,Alex Henery,PHI,26,,16,0,,,8,8,8,7,10,7,2,1,28,23,51,82.1%,45,45,100.0%,90,5583,37,41.1%,62.0,,,,,
24,23,Greg Zuerlein,STL,26,,16,0,,,7,7,10,10,9,8,2,1,28,26,54,92.9%,34,34,100.0%,78,5094,52,66.7%,65.3,,,,,
25,24,Matt Bryant,ATL,38,,16,0,,,9,9,8,7,5,5,5,3,27,24,53,88.9%,39,39,100.0%,,,,,,,,,,
26,25,Graham Gano,CAR,26,,16,0,,,9,9,5,4,7,5,6,6,27,24,55,88.9%,42,42,100.0%,80,5185,63,78.8%,64.8,,,,,
27,26,Billy Cundiff,CLE,33,,16,0,,,7,7,6,5,9,7,4,2,26,21,51,80.8%,32,32,100.0%,65,4095,42,64.6%,63.0,1,34,34,0,34.0
28,27,Josh Brown ,NYG,34,,16,0,,,8,8,8,7,8,7,2,1,26,23,52,88.5%,31,31,100.0%,70,4375,35,50.0%,62.5,,,,,
