,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
0,,2015 Season,w/ Team,Career,Playoffs,w/ Team,Career,,,,,,,,,,,,,,,,,
1,Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
2,Bruce Arians,ARI,16,13,3,0,80,49,30,1,108,63,44,1,2,1,1,3,1,2,3,1,2,
3,Dan Quinn,ATL,16,8,8,0,85,43,42,0,85,43,42,0,0,0,0,5,3,2,5,3,2,
4,John Harbaugh,BAL,16,5,11,0,202,124,78,0,202,124,78,0,,,,17,10,7,17,10,7,
5,Rex Ryan,BUF,16,8,8,0,31,15,16,0,127,61,66,0,,,,0,0,0,6,4,2,
6,Ron Rivera,CAR,16,15,1,0,140,76,63,1,151,80,70,1,3,2,1,7,3,4,7,3,4,
7,John Fox,CHI,16,6,10,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
8,Marvin Lewis,CIN,16,12,4,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
9,Mike Pettine,CLE,16,3,13,0,32,10,22,0,32,10,22,0,,,,0,0,0,0,0,0,
10,Jason Garrett,DAL,16,4,12,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,
11,Gary Kubiak,DEN,16,12,4,0,32,21,11,0,157,82,75,0,3,3,0,3,3,0,7,5,2,Super Bowl Champions
12,Jim Caldwell,DET,16,7,9,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,
13,Mike McCarthy,GNB,16,10,6,0,204,125,77,2,215,128,85,2,2,1,1,18,10,8,18,10,8,
14,Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,1,0,1,6,2,4,6,2,4,
15,Chuck Pagano,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
16,Gus Bradley,JAX,16,5,11,0,62,14,48,0,62,14,48,0,,,,0,0,0,0,0,0,
17,Andy Reid,KAN,16,11,5,0,123,87,36,0,347,217,129,1,2,1,1,10,5,5,29,15,14,
18,Dan Campbell,MIA,12,5,7,0,12,5,7,0,12,5,7,0,,,,,,,,,,Replaced Joe Philbin after Week 4
19,Joe Philbin,MIA,4,1,3,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,Fired after Week 4
20,Mike Zimmer,MIN,16,11,5,0,107,62,44,1,107,62,44,1,1,0,1,5,2,3,5,2,3,
21,Sean Payton,NOR,16,7,9,0,219,140,79,0,219,140,79,0,,,,15,8,7,15,8,7,
22,Bill Belichick,NWE,16,12,4,0,331,242,89,0,411,278,133,0,2,1,1,41,30,11,43,31,12,
23,Tom Coughlin,NYG,16,6,10,0,192,102,90,0,320,170,150,0,,,,11,8,3,19,12,7,
24,Todd Bowles,NYJ,16,10,6,0,64,24,40,0,67,26,41,0,,,,,,,0,0,0,
25,Jack Del Rio,OAK,16,7,9,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,
26,Chip Kelly,PHI,15,6,9,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,Fired after Week 16
27,Pat Shurmur,PHI,1,1,0,0,1,1,0,0,65,19,46,0,,,,,,,0,0,0,Interim head coach for Week 17
28,Mike Tomlin,PIT,16,10,6,0,218,143,74,1,218,143,74,1,2,1,1,15,8,7,15,8,7,
29,Mike McCoy,SDG,16,4,12,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,
30,Pete Carroll,SEA,16,10,6,0,171,108,62,1,235,141,93,1,2,1,1,17,10,7,20,11,9,
31,Jim Tomsula,SFO,16,5,11,0,17,6,11,0,17,6,11,0,,,,0,0,0,0,0,0,
32,Jeff Fisher,STL,16,7,9,0,77,31,45,1,339,173,165,1,,,,0,0,0,11,5,6,
33,Lovie Smith,TAM,16,6,10,0,32,8,24,0,176,89,87,0,,,,0,0,0,6,3,3,
34,Ken Whisenhunt,TEN,7,1,6,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,Fired after Week 8
35,Mike Mularkey,TEN,9,2,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,Replaced Ken Whisenhunt after Week 8
36,Jay Gruden,WAS,16,9,7,0,85,35,49,1,85,35,49,1,1,0,1,1,0,1,1,0,1,
