,Week,Day,Date,Winner/tie,,Loser/tie,,PtsW,PtsL
0,WildCard,Sat,January 5,Indianapolis Colts,@,Houston Texans,boxscore,21,7
1,WildCard,Sat,January 5,Dallas Cowboys,,Seattle Seahawks,boxscore,24,22
2,WildCard,Sun,January 6,Philadelphia Eagles,@,Chicago Bears,boxscore,16,15
3,WildCard,Sun,January 6,Los Angeles Chargers,@,Baltimore Ravens,boxscore,23,17
4,Division,Sat,January 12,Kansas City Chiefs,,Indianapolis Colts,boxscore,31,13
5,Division,Sat,January 12,Los Angeles Rams,,Dallas Cowboys,boxscore,30,22
6,Division,Sun,January 13,New Orleans Saints,,Philadelphia Eagles,boxscore,20,14
7,Division,Sun,January 13,New England Patriots,,Los Angeles Chargers,boxscore,41,28
8,ConfChamp,Sun,January 20,New England Patriots,@,Kansas City Chiefs,boxscore,37,31
9,ConfChamp,Sun,January 20,Los Angeles Rams,@,New Orleans Saints,boxscore,26,23
10,SuperBowl,Sun,February 3,New England Patriots,N,Los Angeles Rams,boxscore,13,3
