,Year,Lg,Pos,Player,Tm
0,2019,NFL,CB,Stephon Gilmore,New England Patriots
1,2018,NFL,DT,Aaron Donald,Los Angeles Rams
2,2017,NFL,DT,Aaron Donald,Los Angeles Rams
3,2016,NFL,OLB,Khalil Mack,Oakland Raiders
4,2015,NFL,DE,J.J. Watt,Houston Texans
5,2014,NFL,DE,J.J. Watt,Houston Texans
6,2013,NFL,ILB,Luke Kuechly,Carolina Panthers
7,2012,NFL,DE,J.J. Watt,Houston Texans
8,2011,NFL,LOLB,Terrell Suggs,Baltimore Ravens
9,2010,NFL,SS,Troy Polamalu,Pittsburgh Steelers
10,2009,NFL,LCB,Charles Woodson ,Green Bay Packers
11,2008,NFL,ROLB,James Harrison,Pittsburgh Steelers
12,2007,NFL,DB,Bob Sanders ,Indianapolis Colts
13,2006,NFL,RDE,Jason Taylor,Miami Dolphins
14,2005,NFL,MLB,Brian Urlacher,Chicago Bears
15,2004,NFL,FS,Ed Reed,Baltimore Ravens
16,2003,NFL,MLB,Ray Lewis,Baltimore Ravens
17,2002,NFL,RLB,Derrick Brooks,Tampa Bay Buccaneers
18,2001,NFL,LDE,Michael Strahan,New York Giants
19,2000,NFL,MLB,Ray Lewis,Baltimore Ravens
20,1999,NFL,RDT,Warren Sapp,Tampa Bay Buccaneers
21,1998,NFL,LDE,Reggie White ,Green Bay Packers
22,1997,NFL,RDT,Dana Stubblefield,San Francisco 49ers
23,1996,NFL,RDE,Bruce Smith,Buffalo Bills
24,1995,NFL,LOLB,Bryce Paup,Buffalo Bills
25,1994,NFL,RCB,Deion Sanders ,San Francisco 49ers
26,1993,NFL,PR,Rod Woodson,Pittsburgh Steelers
27,1992,NFL,RDT,Cortez Kennedy ,Seattle Seahawks
28,1991,NFL,ROLB,Pat Swilling,New Orleans Saints
29,1990,NFL,RDE,Bruce Smith,Buffalo Bills
30,1989,NFL,RDT,Keith Millard,Minnesota Vikings
31,1988,NFL,MLB,Mike Singletary ,Chicago Bears
32,1987,NFL,LDE,Reggie White ,Philadelphia Eagles
33,1986,NFL,ROLB,Lawrence Taylor,New York Giants
34,1985,NFL,MLB,Mike Singletary ,Chicago Bears
35,1984,NFL,SS,Kenny Easley,Seattle Seahawks
36,1983,NFL,LDE,Doug Betters,Miami Dolphins
37,1982,NFL,ROLB,Lawrence Taylor,New York Giants
38,1981,NFL,ROLB,Lawrence Taylor,New York Giants
39,1980,NFL,LCB,Lester Hayes,Oakland Raiders
40,1979,NFL,RDE,Lee Roy Selmon,Tampa Bay Buccaneers
41,1978,NFL,RILB,Randy Gradishar,Denver Broncos
42,1977,NFL,RDE,Harvey Martin ,Dallas Cowboys
43,1976,NFL,MLB,Jack Lambert,Pittsburgh Steelers
44,1975,NFL,RCB,Mel Blount,Pittsburgh Steelers
45,1974,NFL,LDT,Joe Greene,Pittsburgh Steelers
46,1973,NFL,SS,Dick Anderson ,Miami Dolphins
47,1972,NFL,LDT,Joe Greene,Pittsburgh Steelers
48,1971,NFL,RDT,Alan Page,Minnesota Vikings
