,Year,Lg,Pos,Player,Tm
0,2019,NFL,QB,Lamar Jackson,Baltimore Ravens
1,2018,NFL,QB,Patrick Mahomes ,Kansas City Chiefs
2,2017,NFL,QB,Tom Brady ,New England Patriots
3,2016,NFL,QB,Matt Ryan,Atlanta Falcons
4,2015,NFL,QB,Cam Newton,Carolina Panthers
5,2014,NFL,QB,Aaron Rodgers ,Green Bay Packers
6,2013,NFL,QB,Peyton Manning ,Denver Broncos
7,2012,NFL,RB,Adrian Peterson,Minnesota Vikings
8,2011,NFL,QB,Aaron Rodgers ,Green Bay Packers
9,2010,NFL,QB,Tom Brady ,New England Patriots
10,2009,NFL,QB,Peyton Manning ,Indianapolis Colts
11,2008,NFL,QB,Peyton Manning ,Indianapolis Colts
12,2007,NFL,QB,Tom Brady ,New England Patriots
13,2006,NFL,RB,LaDainian Tomlinson,San Diego Chargers
14,2005,NFL,RB,Shaun Alexander ,Seattle Seahawks
15,2004,NFL,QB,Peyton Manning ,Indianapolis Colts
16,2003,NFL,QB,Steve McNair,Tennessee Titans
17,2003,NFL,QB,Peyton Manning ,Indianapolis Colts
18,2002,NFL,QB,Rich Gannon,Oakland Raiders
19,2001,NFL,QB,Kurt Warner,St. Louis Rams
20,2000,NFL,RB,Marshall Faulk,St. Louis Rams
21,1999,NFL,QB,Kurt Warner,St. Louis Rams
22,1998,NFL,RB,Terrell Davis ,Denver Broncos
23,1997,NFL,RB,Barry Sanders ,Detroit Lions
24,1997,NFL,QB,Brett Favre ,Green Bay Packers
25,1996,NFL,QB,Brett Favre ,Green Bay Packers
26,1995,NFL,QB,Brett Favre ,Green Bay Packers
27,1994,NFL,QB,Steve Young,San Francisco 49ers
28,1993,NFL,RB,Emmitt Smith ,Dallas Cowboys
29,1992,NFL,QB,Steve Young,San Francisco 49ers
30,1991,NFL,RB,Thurman Thomas,Buffalo Bills
31,1990,NFL,QB,Joe Montana,San Francisco 49ers
32,1989,NFL,QB,Joe Montana,San Francisco 49ers
33,1988,NFL,QB,Boomer Esiason,Cincinnati Bengals
34,1987,NFL,QB,John Elway,Denver Broncos
35,1986,NFL,ROLB,Lawrence Taylor,New York Giants
36,1985,NFL,RB,Marcus Allen,Los Angeles Raiders
37,1984,NFL,QB,Dan Marino,Miami Dolphins
38,1983,NFL,QB,Joe Theismann,Washington Redskins
39,1982,NFL,K,Mark Moseley,Washington Redskins
40,1981,NFL,QB,Ken Anderson ,Cincinnati Bengals
41,1980,NFL,QB,Brian Sipe,Cleveland Browns
42,1979,NFL,RB,Earl Campbell,Houston Oilers
43,1978,NFL,QB,Terry Bradshaw,Pittsburgh Steelers
44,1977,NFL,RB,Walter Payton,Chicago Bears
45,1976,NFL,QB,Bert Jones,Baltimore Colts
46,1975,NFL,QB,Fran Tarkenton,Minnesota Vikings
47,1974,NFL,QB,Ken Stabler ,Oakland Raiders
48,1973,NFL,RB,O.J. Simpson,Buffalo Bills
49,1972,NFL,RB,Larry Brown,Washington Redskins
50,1971,NFL,RDT,Alan Page,Minnesota Vikings
51,1970,NFL,QB,John Brodie,San Francisco 49ers
52,1969,NFL,QB,Roman Gabriel,Los Angeles Rams
53,1968,NFL,QB,Earl Morrall,Baltimore Colts
54,1967,NFL,QB,Johnny Unitas ,Baltimore Colts
55,1966,NFL,QB,Bart Starr,Green Bay Packers
56,1965,NFL,FB,Jim Brown,Cleveland Browns
57,1964,NFL,QB,Johnny Unitas ,Baltimore Colts
58,1963,NFL,QB,Y.A. Tittle,New York Giants
59,1962,NFL,FB,Jim Taylor,Green Bay Packers
60,1961,NFL,HB,Paul Hornung ,Green Bay Packers
61,1960,NFL,QB,Norm Van Brocklin ,Philadelphia Eagles
62,1959,NFL,QB,Johnny Unitas ,Baltimore Colts
63,1958,NFL,FB,Jim Brown,Cleveland Browns
64,1957,NFL,FB,Jim Brown,Cleveland Browns
